Doc_ID,City,Country,Num_Reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,OVERALL_RATING
china_beijing_shangri_la_kerry_centre_hotel,beijing,China,36,4.417,4.194,4.139,3.917,3.722,4.078
china_beijing_sunworld_hotel_beijing,beijing,China,18,4.333,4.167,4.333,4.444,4.444,4.344
china_beijing_jade_garden_hotel,beijing,China,12,4.417,3.917,3.833,4.75,3.833,4.15
china_beijing_grand_hotel_beijing,beijing,China,28,4.429,4.036,4.214,4.821,4.0,4.3
china_beijing_the_westin_beijing_chaoyang,beijing,China,24,4.542,4.542,4.0,4.042,3.583,4.142
china_beijing_orange_hotel_beijing_asia_games_village,beijing,China,4,4.5,4.75,4.0,4.0,4.5,4.35
china_beijing_holiday_inn_express_beijing_temple_of_heaven,beijing,China,27,4.37,4.259,3.889,3.148,4.519,4.037
china_beijing_marco_polo_parkside_hotel,beijing,China,14,4.643,4.643,4.286,3.857,4.357,4.357
china_beijing_xinhai_jinjiang_hotel,beijing,China,14,4.5,4.429,4.071,4.0,4.143,4.229
china_beijing_aloft_beijing_haidian,beijing,China,6,4.667,4.333,3.667,3.0,4.5,4.033
china_beijing_hans_royal_garden_hotel,beijing,China,3,5.0,4.667,4.667,4.0,4.0,4.467
china_beijing_novotel_peace_hotel,beijing,China,113,3.903,3.611,3.717,4.531,3.867,3.926
china_beijing_the_aman_at_summer_palace,beijing,China,5,5.0,5.0,4.8,4.6,4.2,4.72
china_beijing_ascott_beijing,beijing,China,24,4.458,4.458,3.708,3.875,4.375,4.175
china_beijing_prime_hotel,beijing,China,35,4.257,4.286,4.057,4.429,3.943,4.194
china_beijing_beijing_jade_international_youth_hostel,beijing,China,13,4.385,3.923,4.077,4.615,4.615,4.323
china_beijing_courtyard_by_marriott_beijing_northeast,beijing,China,9,4.444,4.222,4.444,3.889,4.333,4.267
china_beijing_beijing_huang_yuan_hotel,beijing,China,1,4.0,4.0,3.0,2.0,4.0,3.4
china_beijing_bohao_radegast_hotel_beijing,beijing,China,11,4.909,4.455,4.273,4.0,4.636,4.455
china_beijing_grand_mercure_hotel_xidan,beijing,China,63,3.921,3.619,3.762,4.095,3.905,3.86
china_beijing_empark_grand_hotel,beijing,China,4,5.0,4.5,4.5,3.75,4.5,4.45
china_beijing_days_inn_forbidden_city_beijing,beijing,China,100,4.01,3.72,3.88,4.69,4.15,4.09
china_beijing_jianguo_hotel_qianmen_beijing,beijing,China,19,4.368,3.947,3.737,3.684,3.895,3.926
china_beijing_crowne_plaza_park_view_wuzhou,beijing,China,21,4.381,4.381,3.762,3.238,3.952,3.943
china_beijing_beijing_hotel,beijing,China,21,3.048,3.0,2.619,4.81,2.762,3.248
china_beijing_doubletree_by_hilton_beijing,beijing,China,26,4.923,4.692,4.654,3.423,4.462,4.431
china_beijing_kempinski_hotel_beijing_lufthansa_center,beijing,China,24,4.083,3.708,4.0,3.792,3.792,3.875
china_beijing_capital_hotel_beijing,beijing,China,55,4.036,3.836,3.636,4.309,3.818,3.927
china_beijing_hutong_inn_beijing_culture_hotel,beijing,China,1,5.0,5.0,5.0,5.0,5.0,5.0
china_beijing_holiday_inn_temple_of_heaven,beijing,China,27,4.519,4.185,4.074,3.259,4.074,4.022
china_beijing_jian_guo_hotel,beijing,China,19,4.263,4.211,4.105,4.526,4.263,4.274
china_beijing_hotel_cote_cour_beijing,beijing,China,27,4.815,4.556,4.815,4.481,4.259,4.585
china_beijing_renaissance_beijing_hotel,beijing,China,20,4.6,4.4,4.45,3.7,4.35,4.3
china_beijing_yi_hai_business_hotel,beijing,China,1,5.0,5.0,4.0,3.0,5.0,4.4
china_beijing_marriott_executive_apartments_sandalwood,beijing,China,2,5.0,5.0,4.5,3.5,5.0,4.6
china_beijing_swissotel_beijing,beijing,China,37,4.189,3.703,3.865,3.973,3.649,3.876
china_beijing_traders_upper_east_hotel,beijing,China,4,4.5,4.25,4.5,4.5,4.5,4.45
china_beijing_harmony_hotel,beijing,China,54,3.889,3.574,3.556,4.241,3.926,3.837
china_beijing_mercure_wanshang_beijing,beijing,China,13,4.846,4.385,4.385,3.538,4.231,4.277
china_beijing_shatan_hotel,beijing,China,64,3.938,3.781,3.844,4.219,4.141,3.984
china_beijing_yoyo_hotel,beijing,China,2,5.0,5.0,4.5,3.5,5.0,4.6
china_beijing_hotel_kunlun,beijing,China,13,4.154,4.154,3.923,3.462,3.538,3.846
china_beijing_howard_johnson_paragon,beijing,China,37,3.784,3.838,3.324,4.324,3.946,3.843
china_beijing_ao_xiang_ge_hotel,beijing,China,1,4.0,3.0,5.0,4.0,4.0,4.0
china_beijing_happy_dragon_hostel,beijing,China,4,4.0,3.75,4.75,3.75,4.25,4.1
china_beijing_luxury_serviced_residence,beijing,China,11,4.182,4.545,4.455,4.364,4.545,4.418
china_beijing_beijing_guangming_hotel,beijing,China,2,5.0,4.5,4.0,4.5,5.0,4.6
china_beijing_beijing_century_towers,beijing,China,2,4.5,4.5,4.5,4.5,5.0,4.6
china_beijing_autumn_garden_courtyard_hotel,beijing,China,5,4.4,4.2,4.4,4.2,4.4,4.32
china_beijing_xixi_friendship_hotel,beijing,China,5,4.4,4.0,4.2,4.2,3.8,4.12
china_beijing_lee_garden_service_apartment_beijing,beijing,China,10,4.0,4.1,4.3,4.9,4.2,4.3
china_beijing_hwa_apartment_hotel,beijing,China,15,3.867,4.067,3.733,4.2,4.467,4.067
china_beijing_marriott_beijing_hotel_west,beijing,China,17,4.294,4.471,4.353,2.765,3.941,3.965
china_beijing_soluxe_sunshine_courtyard_hotel,beijing,China,4,4.25,4.0,4.25,4.25,4.25,4.2
china_beijing_palm_springs_beijing_marriott_executive_apartments,beijing,China,19,4.368,4.421,3.684,3.368,4.158,4.0
china_beijing_shindom_inn_beijing_taoranting,beijing,China,1,5.0,5.0,4.0,5.0,5.0,4.8
china_beijing_auspicious_business_hotel,beijing,China,1,4.0,4.0,4.0,3.0,4.0,3.8
china_beijing_somerset_zhongguancun,beijing,China,4,3.25,3.25,3.75,3.0,3.5,3.35
china_beijing_loong_palace_hotel_resort,beijing,China,18,4.667,4.667,4.167,2.833,4.556,4.178
china_beijing_guangzhou_hotel,beijing,China,5,2.6,2.8,2.6,3.6,2.8,2.88
china_beijing_commune_by_the_great_wall_kempinski,beijing,China,37,4.216,3.811,3.351,4.541,3.324,3.849
china_beijing_park_hyatt_beijing,beijing,China,18,4.611,4.611,4.333,3.833,3.833,4.244
china_beijing_ocean_hotel,beijing,China,2,4.5,4.0,3.0,5.0,3.5,4.0
china_beijing_tianlun_dynasty_hotel,beijing,China,15,4.467,4.133,4.133,4.8,3.933,4.293
china_beijing_nikko_new_century_beijing_hotel,beijing,China,29,3.552,3.552,3.655,2.966,3.414,3.428
china_beijing_yuyang_hotel,beijing,China,1,4.0,4.0,4.0,2.0,4.0,3.6
china_beijing_home_inn_beijing_beiwei_road,beijing,China,1,5.0,2.0,5.0,2.0,5.0,3.8
china_beijing_crowne_plaza_sun_palace_beijing,beijing,China,14,4.857,4.714,4.5,2.929,4.357,4.271
china_beijing_gehua_new_century_hotel,beijing,China,3,5.0,5.0,4.333,3.667,4.0,4.4
china_beijing_beijing_kuntai_hotel,beijing,China,1,4.0,4.0,4.0,3.0,3.0,3.6
china_beijing_beijing_friendship_hotel_grand_building,beijing,China,27,3.926,3.815,3.815,3.185,3.815,3.711
china_beijing_oakwood_residence_beijing,beijing,China,7,4.571,4.429,4.429,3.714,4.429,4.314
china_beijing_holiday_inn_beijing_lido,beijing,China,24,4.208,3.542,3.833,3.583,3.292,3.692
china_beijing_grand_view_garden_hotel,beijing,China,16,3.188,3.188,3.0,2.562,3.062,3.0
china_beijing_xi_jiao_hotel_beijing,beijing,China,7,3.857,3.714,3.857,2.714,3.429,3.514
china_beijing_xiyuan_hotel,beijing,China,12,3.583,3.333,3.083,3.083,3.417,3.3
china_beijing_huadu_hotel,beijing,China,5,3.8,4.0,3.6,4.4,4.2,4.0
china_beijing_holiday_inn_express_beijing_minzuyuan,beijing,China,12,4.5,4.333,3.417,3.417,4.667,4.067
china_beijing_hotel_ibis_beijing_sanyuan,beijing,China,9,4.111,3.333,3.444,3.333,4.111,3.667
china_beijing_hollyear_hotel_beijing,beijing,China,2,3.5,4.0,2.5,2.5,4.0,3.3
china_beijing_jinqiao_international_apartment_hotel,beijing,China,2,4.5,4.5,3.5,3.5,4.0,4.0
china_beijing_tiantan_hotel,beijing,China,3,4.667,4.0,3.333,2.667,3.667,3.667
china_beijing_oriental_bay_international_hotel,beijing,China,14,4.0,4.143,4.0,3.714,4.0,3.971
china_beijing_motel_268_beijing_wangfujing,beijing,China,5,3.8,3.8,3.8,5.0,4.4,4.16
china_beijing_orange_hotel_beijing_wangjing,beijing,China,1,5.0,5.0,5.0,4.0,5.0,4.8
china_beijing_xinyuan_inn,beijing,China,2,4.0,3.5,3.5,5.0,4.5,4.1
china_beijing_holiday_inn_downtown_beijing,beijing,China,25,3.88,3.64,3.64,3.6,3.72,3.696
china_beijing_365_inn_beijing_qianmen,beijing,China,1,4.0,3.0,5.0,5.0,5.0,4.4
china_beijing_jiang_shan_yi_yuan_hotel,beijing,China,1,5.0,5.0,5.0,3.0,5.0,4.6
china_beijing_oriental_culture_hotel,beijing,China,11,4.091,3.818,3.364,4.091,4.091,3.891
china_beijing_traders_hotel,beijing,China,24,4.042,3.375,3.917,3.958,3.75,3.808
china_beijing_wangfujing_grand_hotel,beijing,China,48,3.583,3.417,3.5,4.354,3.458,3.662
china_beijing_tianrui_beijing,beijing,China,4,4.5,4.25,4.75,4.75,4.5,4.55
china_beijing_gloria_plaza_hotel_beijing,beijing,China,19,3.263,3.211,3.368,4.105,3.368,3.463
china_beijing_guomen_business_hotel,beijing,China,1,5.0,5.0,5.0,5.0,5.0,5.0
china_beijing_qianyuan_international_business_hotel,beijing,China,5,3.8,3.8,3.6,3.8,4.0,3.8
china_beijing_yong_an_hotel,beijing,China,2,4.0,3.5,3.5,3.0,4.0,3.6
china_beijing_beijing_far_east_international_youth_hostel,beijing,China,29,3.621,3.379,3.414,4.034,3.931,3.676
china_beijing_new_world_hotel_jing_guang,beijing,China,20,3.3,3.3,3.3,3.3,3.4,3.32
china_beijing_zhong_an_inn_zhong_an_hotel,beijing,China,34,3.706,3.353,3.559,3.618,3.912,3.629
china_beijing_kuntai_royal_hotel,beijing,China,6,4.667,4.167,4.167,4.333,3.833,4.233
china_beijing_plaza_hotel_beijing,beijing,China,13,4.385,4.077,3.846,3.0,3.769,3.815
china_beijing_courtyard_by_marriott,beijing,China,63,3.444,3.349,3.302,4.175,3.46,3.546
china_beijing_crowne_plaza_international_airport_hotel_beijing,beijing,China,20,4.65,4.25,3.35,3.1,3.9,3.85
china_beijing_peixin_hotel_beijing,beijing,China,5,4.2,4.4,4.6,3.4,4.4,4.2
china_beijing_china_people_s_palace,beijing,China,2,4.5,4.5,4.0,4.5,5.0,4.5
china_beijing_beijing_dong_fang_hotel,beijing,China,14,3.643,3.643,3.571,3.286,3.429,3.514
china_beijing_joy_city_hotel,beijing,China,14,3.286,3.714,3.143,4.429,3.643,3.643
china_beijing_oriental_garden_hotel,beijing,China,7,4.0,3.714,3.571,3.429,3.429,3.629
china_beijing_novotel_xinqiao_beijing,beijing,China,104,3.817,3.433,3.26,4.144,3.615,3.654
china_beijing_huanyu_jinghang_airport_hotel,beijing,China,1,1.0,1.0,1.0,1.0,1.0,1.0
china_beijing_hebei_hotel_beijing,beijing,China,4,2.75,2.5,3.5,4.25,2.75,3.15
china_beijing_city_hotel_beijing,beijing,China,5,2.8,2.8,2.2,3.8,3.0,2.92
china_beijing_cinderella_apartments,beijing,China,4,3.75,3.75,3.75,2.75,3.5,3.5
china_beijing_days_inn_joiest_beijing,beijing,China,10,3.5,3.2,3.0,3.4,3.0,3.22
china_beijing_beijing_international_hotel,beijing,China,37,3.405,3.405,3.405,4.027,3.405,3.53
china_beijing_comfort_suites_beijing_yayuncun,beijing,China,2,5.0,5.0,4.5,3.5,4.0,4.4
china_beijing_jinjiang_inn_beijing_tiantan_park,beijing,China,1,3.0,2.0,2.0,4.0,2.0,2.6
china_beijing_grand_millennium_beijing,beijing,China,14,4.286,4.357,3.5,4.0,3.571,3.943
china_beijing_fujian_hotel,beijing,China,4,4.5,4.0,4.5,4.25,5.0,4.45
china_beijing_holiday_inn_express_beijing_wangjing,beijing,China,5,4.2,4.0,3.8,3.0,4.0,3.8
china_beijing_7_days_inn_beijing_jingsong,beijing,China,1,3.0,2.0,5.0,3.0,5.0,3.6
china_beijing_hanting_hotel_beijing_wangfujing,beijing,China,2,5.0,3.5,5.0,4.5,4.5,4.5
china_beijing_holiday_inn_chang_an_west,beijing,China,11,4.818,4.727,4.455,3.364,4.455,4.364
usa_illinois_chicago_the_talbott_hotel,chicago,usa,122,4.73,4.656,4.648,4.844,4.484,4.672
usa_illinois_chicago_sofitel_chicago_water_tower,chicago,usa,301,4.761,4.558,4.605,4.794,4.289,4.601
usa_illinois_chicago_trump_international_hotel_tower_chicago,chicago,usa,108,4.889,4.843,4.574,4.861,4.315,4.696
usa_illinois_chicago_hampton_inn_majestic_chicago,chicago,usa,132,4.758,4.591,4.492,4.742,4.394,4.595
usa_illinois_chicago_residence_inn_chicago_downtown_river_north,chicago,usa,80,4.788,4.6,4.65,4.725,4.462,4.645
usa_illinois_chicago_hotel_monaco_chicago_a_kimpton_hotel,chicago,usa,206,4.602,4.466,4.534,4.714,4.272,4.517
usa_illinois_chicago_park_hyatt_chicago,chicago,usa,83,4.795,4.735,4.494,4.928,4.265,4.643
usa_illinois_chicago_springhill_suites_chicago_downtown_river_north,chicago,usa,74,4.649,4.486,4.514,4.676,4.473,4.559
usa_illinois_chicago_homewood_suites_by_hilton_chicago_downtown,chicago,usa,216,4.523,4.421,4.523,4.819,4.514,4.56
usa_illinois_chicago_affinia_chicago,chicago,usa,263,4.696,4.578,4.574,4.837,4.437,4.624
usa_illinois_chicago_dana_hotel_spa,chicago,usa,105,4.686,4.362,4.314,4.705,4.21,4.455
usa_illinois_chicago_the_peninsula_chicago,chicago,usa,79,4.633,4.506,4.506,4.772,3.987,4.481
usa_illinois_chicago_the_blackstone_a_renaissance_hotel,chicago,usa,102,4.706,4.539,4.343,4.5,4.245,4.467
usa_illinois_chicago_james_chicago,chicago,usa,225,4.622,4.333,4.391,4.764,4.142,4.451
usa_illinois_chicago_amalfi_hotel_chicago,chicago,usa,187,4.604,4.396,4.374,4.519,4.369,4.452
usa_illinois_chicago_four_seasons_hotel_chicago,chicago,usa,58,4.672,4.569,4.517,4.879,4.19,4.566
usa_illinois_chicago_hotel_burnham_a_kimpton_hotel,chicago,usa,153,4.699,4.399,4.562,4.719,4.294,4.535
usa_illinois_chicago_conrad_chicago,chicago,usa,194,4.649,4.531,4.371,4.758,4.093,4.48
usa_illinois_chicago_thewit_hotel,chicago,usa,55,4.782,4.218,4.291,4.764,4.109,4.433
usa_illinois_chicago_renaissance_chicago_hotel,chicago,usa,111,4.604,4.405,4.36,4.757,4.072,4.44
usa_illinois_chicago_the_sutton_place_hotel,chicago,usa,91,4.626,4.363,4.352,4.813,4.165,4.464
usa_illinois_chicago_the_westin_chicago_river_north,chicago,usa,111,4.55,4.523,4.171,4.568,3.982,4.359
usa_illinois_chicago_holiday_inn_chicago_midway_airport,chicago,usa,8,4.625,4.75,4.75,4.5,4.625,4.65
usa_illinois_chicago_carlton_inn_midway,chicago,usa,23,4.826,4.391,4.87,4.087,4.609,4.557
usa_illinois_chicago_omni_chicago_hotel,chicago,usa,193,4.575,4.383,4.472,4.896,4.249,4.515
usa_illinois_chicago_residence_inn_chicago_downtown,chicago,usa,59,4.542,4.322,4.288,4.593,4.271,4.403
usa_illinois_chicago_fairfield_inn_suites_chicago_downtown,chicago,usa,79,4.544,4.089,4.367,4.696,4.139,4.367
usa_illinois_chicago_millennium_knickerbocker_hotel_chicago,chicago,usa,195,4.031,3.708,4.174,4.708,3.872,4.098
usa_illinois_chicago_the_ritz_carlton_chicago_a_four_seasons_hotel,chicago,usa,78,4.641,4.192,4.321,4.808,3.859,4.364
usa_illinois_chicago_four_points_by_sheraton_chicago_downtown_magnificent_mile,chicago,usa,102,4.48,4.137,4.265,4.765,4.176,4.365
usa_illinois_chicago_comfort_suites,chicago,usa,42,4.595,4.571,3.905,4.833,4.5,4.481
usa_illinois_chicago_courtyard_by_marriott_chicago_downtown_magnificent_mile,chicago,usa,85,4.4,4.106,4.271,4.824,4.165,4.353
usa_illinois_chicago_la_quinta_inn_suites_chicago_downtown,chicago,usa,22,4.636,4.318,4.182,4.5,4.227,4.373
usa_illinois_chicago_renaissance_chicago_o_hare_suites_hotel,chicago,usa,84,4.571,4.464,4.381,4.381,4.44,4.448
usa_illinois_chicago_intercontinental_chicago,chicago,usa,301,4.355,4.06,4.07,4.804,4.0,4.258
usa_illinois_chicago_swissotel_chicago,chicago,usa,239,4.427,4.201,3.87,4.402,3.941,4.168
usa_illinois_chicago_fairmont_chicago_millennium_park,chicago,usa,164,4.439,4.14,4.25,4.378,3.829,4.207
usa_illinois_chicago_hotel_blake,chicago,usa,123,4.325,4.309,4.016,4.268,4.024,4.189
usa_illinois_chicago_belden_stratford_hotel,chicago,usa,36,4.389,4.194,3.972,4.472,4.25,4.256
usa_illinois_chicago_avenue_hotel_chicago,chicago,usa,123,4.48,4.187,4.041,4.764,4.073,4.309
usa_illinois_chicago_embassy_suites_hotel_chicago_downtown,chicago,usa,112,4.25,4.125,4.259,4.58,4.0,4.243
usa_illinois_chicago_hotel_allegro_chicago_a_kimpton_hotel,chicago,usa,163,4.16,3.571,3.957,4.301,3.773,3.952
usa_illinois_chicago_doubletree_hotel_chicago_magnificent_mile,chicago,usa,94,4.351,4.234,4.255,4.511,4.096,4.289
usa_illinois_chicago_hotel_71,chicago,usa,58,4.069,4.0,3.793,4.69,3.948,4.1
usa_illinois_chicago_union_league_club,chicago,usa,14,4.429,3.929,4.357,4.5,3.786,4.2
usa_illinois_chicago_days_inn_chicago,chicago,usa,77,4.39,3.805,4.221,4.403,4.234,4.21
usa_illinois_chicago_majestic_hotel,chicago,usa,33,4.606,3.939,4.212,4.212,4.121,4.218
usa_illinois_chicago_residence_inn_chicago_midway,chicago,usa,2,5.0,5.0,5.0,5.0,5.0,5.0
usa_illinois_chicago_comfort_inn_suites_downtown,chicago,usa,80,4.3,3.8,3.938,4.712,4.012,4.152
usa_illinois_chicago_hotel_sax_chicago,chicago,usa,112,4.321,4.036,3.964,4.607,3.812,4.148
usa_illinois_chicago_wyndham_chicago,chicago,usa,138,4.435,4.094,4.232,4.601,4.007,4.274
usa_illinois_chicago_ambassador_east_hotel,chicago,usa,200,3.945,3.585,4.26,4.59,4.01,4.078
usa_illinois_chicago_hampton_inn_and_suites_chicago_downtown,chicago,usa,107,4.355,4.159,4.318,4.495,4.103,4.286
usa_illinois_chicago_seneca_hotel,chicago,usa,169,3.864,3.586,3.769,4.686,4.077,3.996
usa_illinois_chicago_ruby_room,chicago,usa,13,4.615,4.231,3.462,4.231,4.0,4.108
usa_illinois_chicago_embassy_suites_hotel_chicago_downtown_lakefront,chicago,usa,125,4.056,3.92,3.808,4.488,3.768,4.008
usa_illinois_chicago_hotel_indigo_chicago_downtown_gold_coast,chicago,usa,95,4.232,4.105,4.011,4.484,4.053,4.177
usa_illinois_chicago_hilton_garden_inn_chicago_downtown_magnificent_mile,chicago,usa,133,4.429,4.06,4.143,4.692,3.97,4.259
usa_illinois_chicago_hard_rock_hotel_chicago,chicago,usa,211,4.152,3.787,3.967,4.559,3.645,4.022
usa_illinois_chicago_springhill_suites_chicago_o_hare,chicago,usa,45,4.378,4.2,4.089,3.467,4.2,4.067
usa_illinois_chicago_the_raffaello_hotel,chicago,usa,117,4.419,4.154,3.803,4.761,3.906,4.209
usa_illinois_chicago_marriott_chicago_midway,chicago,usa,11,4.727,4.727,4.545,4.091,4.273,4.473
usa_illinois_chicago_club_quarters_chicago_central_loop,chicago,usa,118,4.127,3.636,3.78,4.39,3.992,3.985
usa_illinois_chicago_best_western_hawthorne_terrace,chicago,usa,26,4.269,4.077,4.038,4.654,3.769,4.162
usa_illinois_chicago_hilton_suites_chicago_magnificent_mile,chicago,usa,66,4.242,4.015,3.773,4.576,3.818,4.085
usa_illinois_chicago_courtyard_by_marriott_chicago_downtown,chicago,usa,57,4.351,4.105,4.281,4.702,4.053,4.298
usa_illinois_chicago_the_silversmith_hotel_suites,chicago,usa,119,4.303,4.067,3.874,4.261,3.941,4.089
usa_illinois_chicago_the_drake,chicago,usa,175,4.263,3.943,4.029,4.731,3.76,4.145
usa_illinois_chicago_the_willows,chicago,usa,30,4.5,4.033,4.133,4.633,4.133,4.287
usa_illinois_chicago_holiday_inn_chicago_mart_plaza,chicago,usa,94,3.915,3.553,3.809,4.106,3.691,3.815
usa_illinois_chicago_hotel_felix,chicago,usa,71,4.648,3.563,4.211,4.31,3.704,4.087
usa_illinois_chicago_the_whitehall_hotel,chicago,usa,99,3.909,3.626,3.869,4.737,3.727,3.974
usa_illinois_chicago_chicago_south_loop_hotel,chicago,usa,43,4.116,3.907,3.907,3.326,4.186,3.888
usa_illinois_chicago_hotel_cass_holiday_inn_express,chicago,usa,63,4.016,3.143,3.905,4.667,3.778,3.902
usa_illinois_chicago_city_suites_hotel,chicago,usa,27,4.37,3.852,4.222,4.37,3.778,4.119
usa_illinois_chicago_the_palmer_house_hilton,chicago,usa,301,4.183,3.475,3.688,4.492,3.512,3.87
usa_illinois_chicago_marriott_chicago_downtown_magnificent_mile,chicago,usa,161,4.087,3.516,3.87,4.801,3.478,3.95
usa_illinois_chicago_holiday_inn_chicago_o_hare,chicago,usa,40,4.225,4.075,3.975,4.1,4.05,4.085
usa_illinois_chicago_sheraton_chicago_hotel_and_towers,chicago,usa,233,3.824,3.562,3.768,4.562,3.532,3.85
usa_illinois_chicago_holiday_inn_hotel_suites_downtown,chicago,usa,18,3.889,3.5,4.222,3.611,3.444,3.733
usa_illinois_chicago_hyatt_regency_mccormick_place,chicago,usa,84,3.964,3.798,3.798,3.024,3.298,3.576
usa_illinois_chicago_extended_stay_america_chicago_lisle,chicago,usa,2,5.0,5.0,5.0,4.5,5.0,4.9
usa_illinois_chicago_fairfield_inn_chicago_midway_airport,chicago,usa,10,4.1,3.8,4.2,3.9,3.3,3.86
usa_illinois_chicago_hyatt_regency_chicago,chicago,usa,301,3.944,3.561,3.797,4.538,3.468,3.862
usa_illinois_chicago_the_westin_michigan_avenue_chicago,chicago,usa,163,3.988,3.693,3.693,4.73,3.613,3.944
usa_illinois_chicago_hilton_chicago,chicago,usa,224,4.049,3.688,3.683,3.906,3.455,3.756
usa_illinois_chicago_river_hotel,chicago,usa,64,4.062,3.344,3.672,4.609,3.797,3.897
usa_illinois_chicago_crowne_plaza_chicago_the_metro,chicago,usa,86,4.407,4.186,4.023,3.837,3.814,4.053
usa_illinois_chicago_westin_chicago_northwest,chicago,usa,23,4.304,4.0,4.087,3.478,3.826,3.939
usa_illinois_chicago_buckingham_athletic_club,chicago,usa,11,4.182,4.273,3.545,4.182,4.273,4.091
usa_illinois_chicago_oakwood_apartments,chicago,usa,5,4.2,4.6,4.4,5.0,4.6,4.56
usa_illinois_chicago_hilton_chicago_o_hare_airport,chicago,usa,115,4.157,3.783,3.504,4.409,3.287,3.828
usa_illinois_chicago_club_quarters_chicago_wacker_at_michigan,chicago,usa,12,4.25,3.417,3.583,4.75,4.167,4.033
usa_illinois_chicago_best_western_river_north_chicago_downtown_hotel,chicago,usa,70,4.029,3.4,3.943,4.557,3.871,3.96
usa_illinois_chicago_chicago_marriott_at_medical_district_uic,chicago,usa,18,4.0,3.722,4.222,3.556,3.667,3.833
usa_illinois_chicago_chicago_s_essex_inn,chicago,usa,121,3.686,3.471,3.669,4.223,3.612,3.732
